begins_at,close_price,high_price,interpolated,low_price,open_price,session,volume
2018-05-18,185.658900,187.153800,False,185.479500,186.535800,reg,18297728
2018-05-21,186.974300,188.608500,False,186.257400,187.343000,reg,18400787
2018-05-22,186.505900,188.219900,False,186.127200,187.716700,reg,15240704
2018-05-23,187.701700,187.841200,False,185.110800,185.698700,reg,20058415
2018-05-24,187.492400,188.180000,False,185.559200,188.110300,reg,23233975
2018-05-25,187.920900,188.987200,False,186.994200,187.572200,reg,17460963
2018-05-29,187.243300,188.090400,False,186.216900,186.944400,reg,22514075
2018-05-30,186.844700,187.343000,False,186.127200,187.064000,reg,18690547
2018-05-31,186.216900,187.572200,False,185.489500,186.565700,reg,27482793
2018-06-01,189.575100,189.595100,False,187.093800,187.334200,reg,23442510
2018-06-04,191.159600,192.744000,False,190.681300,190.965300,reg,26266174
2018-06-05,192.634400,193.262200,False,191.687700,192.390300,reg,21565963
2018-06-06,193.302100,193.401700,False,191.249300,192.953300,reg,20933619
2018-06-07,192.783900,193.521300,False,191.662800,193.461500,reg,21347180
2018-06-08,191.030000,191.329000,False,189.106800,190.501900,reg,26656799
2018-06-11,190.561700,191.299100,False,189.545200,190.681300,reg,18308460
2018-06-12,191.608000,191.937900,False,190.482000,190.716100,reg,16911141
2018-06-13,190.033500,192.205900,False,189.774400,191.747500,reg,21638393
2018-06-14,190.133200,190.900500,False,189.555200,190.880600,reg,21610074
2018-06-15,188.180000,189.495400,False,187.602100,189.365900,reg,61719160
2018-06-18,188.080400,188.558700,False,186.545800,187.223400,reg,18484865
2018-06-19,185.041000,185.678800,False,182.808900,184.493000,reg,33578455
2018-06-20,185.848200,186.545800,False,185.080900,185.698700,reg,20628701
2018-06-21,184.811800,187.691700,False,184.293700,186.595600,reg,25711898
2018-06-22,184.273700,185.499400,False,184.054500,185.469500,reg,27200447
2018-06-25,181.533300,184.273700,False,180.098400,182.759000,reg,31663096
2018-06-26,183.785400,185.878100,False,181.902100,182.350500,reg,24569201
2018-06-27,183.516400,186.625500,False,183.386800,184.580500,reg,25285328
2018-06-28,184.851700,185.559200,False,183.157700,183.456600,reg,17365235
2018-06-29,184.463100,186.535800,False,182.270800,185.638900,reg,22737666
2018-07-02,186.525800,186.645400,False,182.779000,183.177600,reg,17731240
2018-07-03,183.277200,187.293100,False,182.898600,187.133700,reg,13954806
2018-07-05,184.752100,185.758500,False,183.636000,184.612500,reg,16604248
2018-07-06,187.313100,187.775500,False,184.552800,184.772000,reg,17485245
2018-07-09,189.914000,190.013600,False,188.638400,188.837700,reg,19756634
2018-07-10,189.684800,190.611500,False,189.515500,190.043500,reg,15939149
2018-07-11,187.223400,189.116700,False,186.954300,187.841200,reg,18831470
2018-07-12,190.362400,190.741100,False,188.648400,188.867600,reg,18041131
2018-07-13,190.661300,191.169600,False,190.232800,190.412200,reg,12519792
2018-07-16,190.242800,191.976700,False,189.749500,190.850700,reg,15043110
2018-07-17,190.780900,191.199400,False,188.538800,189.086900,reg,15534523
2018-07-18,189.734600,191.129700,False,189.266200,191.109800,reg,16421057
2018-07-19,191.209400,191.877100,False,189.027100,189.027100,reg,20286752
2018-07-20,190.770900,191.757500,False,189.505400,191.109800,reg,20706042
2018-07-23,190.940400,191.289100,False,188.897500,190.013600,reg,15989365
2018-07-24,192.325500,192.983300,False,191.378800,191.777400,reg,18697898
2018-07-25,194.139100,194.169000,False,191.757500,192.385500,reg,16826483
2018-07-26,193.531300,195.275200,False,192.933400,193.929900,reg,19075964
2018-07-27,190.312600,194.507800,False,189.435600,194.308500,reg,24023972
2018-07-30,189.246300,191.528300,False,188.409200,191.229300,reg,21029535
2018-07-31,189.625000,191.468500,False,188.678300,189.634900,reg,39445198
2018-08-01,200.795800,201.054900,False,196.620400,198.434100,reg,67935716
2018-08-02,206.665200,207.651700,False,199.649800,199.879000,reg,62404012
2018-08-03,207.263100,208.010500,False,204.762200,206.306500,reg,33447396
2018-08-06,208.339300,208.518700,False,206.346300,207.273100,reg,25425387
2018-08-07,206.386200,208.767800,False,206.037400,208.588500,reg,25587387
2018-08-08,206.525700,207.083700,False,203.805200,205.329900,reg,22525487
2018-08-09,208.150000,209.046900,False,206.475900,206.555600,reg,23492626
2018-08-10,207.530000,209.100000,False,206.670000,207.360000,reg,24611202
2018-08-13,208.870000,210.952000,False,207.700000,207.700000,reg,25890880
2018-08-14,209.750000,210.560000,False,208.260000,210.155000,reg,20748010
2018-08-15,210.240000,210.740000,False,208.330000,209.220000,reg,28807564
2018-08-16,213.320000,213.812100,False,211.470000,211.750000,reg,28500367
2018-08-17,217.580000,217.950000,False,213.160000,213.440000,reg,35426997
2018-08-20,215.460000,219.180000,False,215.110000,218.100000,reg,30287695
2018-08-21,215.040000,217.190000,False,214.025000,216.800000,reg,26159755
2018-08-22,215.050000,216.360000,False,213.840000,214.100000,reg,19018131
2018-08-23,215.490000,217.050000,False,214.600000,214.650000,reg,18883224
2018-08-24,216.160000,216.900000,False,215.110000,216.600000,reg,18476356
2018-08-27,217.940000,218.740000,False,216.330000,217.150000,reg,20525117
2018-08-28,219.700000,220.540000,False,218.920000,219.010000,reg,22776766
2018-08-29,222.980000,223.490000,False,219.410000,220.150000,reg,27254804
2018-08-30,225.030000,228.260000,False,222.400000,223.250000,reg,48793824
2018-08-31,227.630000,228.870000,False,226.000000,226.510000,reg,43340134
2018-09-04,228.360000,229.180000,False,226.630000,228.410000,reg,27390132
2018-09-05,226.870000,229.670000,False,225.100000,228.990000,reg,33332960
2018-09-06,223.100000,227.350000,False,221.300000,226.230000,reg,34289976
2018-09-07,221.300000,225.370000,False,220.710000,221.850000,reg,37619810
2018-09-10,218.330000,221.850000,False,216.470000,220.950000,reg,39516453
2018-09-11,223.850000,224.299000,False,216.560000,218.010000,reg,35749049
2018-09-12,221.070000,225.000000,False,219.840000,224.940000,reg,49278740
2018-09-13,226.410000,228.350000,False,222.570000,223.520000,reg,41706377
2018-09-14,223.840000,226.840000,False,222.522000,225.750000,reg,31999289
2018-09-17,217.880000,222.950000,False,217.270000,222.150000,reg,37195133
2018-09-18,218.240000,221.850000,False,217.120000,217.790000,reg,31571712
2018-09-19,218.370000,219.620000,False,215.300000,218.500000,reg,27123833
2018-09-20,220.030000,222.280000,False,219.150000,220.240000,reg,26608794
2018-09-21,217.660000,221.360000,False,217.290000,220.780000,reg,96246748
